Date,Open,High,Low,Close,Adj Close,Volume,Dnevna rast,Povprečje,Rast v %
2018-05-09,752.902,759.529,718.472,752.275,752.275,2877870080,-0.627,752.5885,-0.0833
2018-05-10,752.579,766.748,726.664,727.277,727.277,2748950016,-25.302,739.928,-3.362
2018-05-11,727.013,736.977,669.825,679.586,679.586,3290080000,-47.427,703.2995,-6.5235
2018-05-12,679.877,691.411,644.066,686.048,686.048,2668480000,6.171,682.9625,0.9077
2018-05-13,687.175,741.312,675.319,733.496,733.496,2362500096,46.321,710.3355,6.7408
2018-05-14,732.733,742.17,695.792,730.549,730.549,3005110016,-2.184,731.641,-0.2981
2018-05-15,731.143,739.052,700.995,708.871,708.871,2523069952,-22.272,720.007,-3.0462
2018-05-16,708.087,710.2,682.541,707.05,707.05,2476130048,-1.037,707.5685,-0.1465
2018-05-17,708.718,718.833,668.834,672.657,672.657,2350619904,-36.061,690.6875,-5.0882
2018-05-18,672.102,695.031,663.809,694.367,694.367,2305740032,22.265,683.2345,3.3127
2018-05-19,695.072,715.578,686.791,696.53,696.53,2021549952,1.458,695.801,0.2098
2018-05-20,697.923,723.753,692.669,715.369,715.369,2156910080,17.446,706.646,2.4997
2018-05-21,717.193,719.278,692.494,699.222,699.222,2005170048,-17.971,708.2075,-2.5057
2018-05-22,700.178,700.976,644.026,647.741,647.741,2230469888,-52.437,673.9595,-7.4891
2018-05-23,646.67,651.636,572.952,583.585,583.585,2995429888,-63.085,615.1275,-9.7554
2018-05-24,584.536,610.818,557.206,601.755,601.755,2791099904,17.219,593.1455,2.9458
2018-05-25,602.14,617.186,575.624,586.734,586.734,2110919936,-15.406,594.437,-2.5585
2018-05-26,587.426,606.175,583.512,587.28,587.28,1694300032,-0.146,587.353,-0.0249
2018-05-27,588.52,590.328,562.866,572.668,572.668,1788790016,-15.852,580.594,-2.6935
2018-05-28,573.045,576.049,512.552,516.036,516.036,2356900096,-57.009,544.5405,-9.9484
2018-05-29,516.148,572.264,516.148,565.388,565.388,2330820096,49.24,540.768,9.5399
2018-05-30,566.83,583.136,545.431,559.59,559.59,2053970048,-7.24,563.21,-1.2773
2018-05-31,558.497,585.538,557.066,577.645,577.645,1985040000,19.148,568.071,3.4285
2018-06-01,578.672,589.093,567.665,580.043,580.043,1945890048,1.371,579.3575,0.2369
2018-06-02,580.429,597.077,577.322,591.808,591.808,1880390016,11.379,586.1185,1.9604
2018-06-03,591.259,624.513,591.259,618.329,618.329,1832550016,27.07,604.794,4.5784
2018-06-04,619.437,623.429,583.747,592.985,592.985,1903430016,-26.452,606.211,-4.2703
2018-06-05,593.406,611.33,580.982,609.303,609.303,1844269952,15.897,601.3545,2.6789
2018-06-06,610.262,611.643,596.396,607.124,607.124,1756530048,-3.138,608.693,-0.5142
2018-06-07,607.687,616.144,601.693,605.187,605.187,1880140032,-2.5,606.437,-0.4114
2018-06-08,605.443,608.811,595.593,601.077,601.077,1637779968,-4.366,603.26,-0.7211
2018-06-09,600.905,608.583,597.562,597.562,597.562,1519309952,-3.343,599.2335,-0.5563
2018-06-10,594.345,594.345,511.889,526.479,526.479,2234880000,-67.866,560.412,-11.4186
2018-06-11,524.857,536.858,515.269,533.284,533.284,1982119936,8.427,529.0705,1.6056
2018-06-12,532.71,538.955,491.235,496.843,496.843,1932760064,-35.867,514.7765,-6.7329
2018-06-13,498.018,501.905,459.004,477.494,477.494,2080130048,-20.524,487.756,-4.1211
2018-06-14,478.381,523.545,467.466,519.742,519.742,2458650112,41.361,499.0615,8.646
2018-06-15,520.48,521.305,487.469,491.004,491.004,1808269952,-29.476,505.742,-5.6632
2018-06-16,490.414,503.223,488.851,499.642,499.642,1314109952,9.228,495.028,1.8817
2018-06-17,499.46,507.641,498.648,500.448,500.448,1264870016,0.988,499.954,0.1978
2018-06-18,499.383,521.796,494.066,518.891,518.891,1513869952,19.508,509.137,3.9064
2018-06-19,519.023,542.353,516.312,537.957,537.957,1726569984,18.934,528.49,3.648
2018-06-20,538.506,541.015,519.369,536.268,536.268,1596290048,-2.238,537.387,-0.4156
2018-06-21,536.447,543.717,524.259,527.367,527.367,1462070016,-9.08,531.907,-1.6926
2018-06-22,527.194,527.194,456.877,465.817,465.817,2226030080,-61.377,496.5055,-11.6422
2018-06-23,466.274,479.129,462.393,474.52,474.52,1651379968,8.246,470.397,1.7685
2018-06-24,474.768,475.359,426.469,457.672,457.672,2490579968,-17.096,466.22,-3.6009
2018-06-25,455.936,470.344,448.896,460.31,460.31,4007950080,4.374,458.123,0.9593
2018-06-26,460.733,461.213,432.772,432.772,432.772,1356560000,-27.961,446.7525,-6.0688
2018-06-27,432.244,444.243,424.839,442.365,442.365,1368940032,10.121,437.3045,2.3415
2018-06-28,442.29,443.618,419.683,422.365,422.365,1360790016,-19.925,432.3275,-4.505
2018-06-29,422.587,441.793,407.947,436.009,436.009,1564499968,13.422,429.298,3.1762
2018-06-30,436.209,458.797,436.209,455.18,455.18,1475939968,18.971,445.6945,4.3491
2018-07-01,455.242,457.139,446.385,453.918,453.918,1511730048,-1.324,454.58,-0.2908
2018-07-02,453.824,479.13,447.111,475.347,475.347,1625789952,21.523,464.5855,4.7426
2018-07-03,475.386,483.854,462.582,464.195,464.195,1683939968,-11.191,469.7905,-2.3541
